region,country,port,sea freight cost,road transport cost per km,total_sea_freight_cost,total_road_transport_cost,total_export_costs
Africa,South Africa,Durban,2300,1.61,18400,16100.00,34500.00
Africa,Kenya,Mombasa,2800,13.5,22400,135000.0,157400.0
Africa,Nigeria,Lagos,4240,2.5,33920,25000.0,58920.0
Asia,Singapore,Singapore,180,1,1440,10000,11440
Asia,Japan,Yokohama,180,1,1440,10000,11440
Asia,China,Shanghai,180,1,1440,10000,11440
Europe,Netherlands,Rotterdam,110,2.1,880,21000.0,21880.0
Europe,Germany,Hamburg,200,2.1,1600,21000.0,22600.0
Europe,Spain,Valencia,195,2.1,1560,21000.0,22560.0
Latin America and the Caribbean,Brazil,Santos,544,1,4352,10000,14352
Latin America and the Caribbean,Columbia,Cartagena,833,1,6664,10000,16664
Latin America and the Caribbean,Costa Rica,Puerto Limon,1654,1,13232,10000,23232
Oceania,Australia,Brisbane,4450,1.8,35600,18000.0,53600.0
Oceania,Australia,Fremantle,4450,1.8,35600,18000.0,53600.0
Oceania,New Zealand,Auckland,4450,1.75,35600,17500.00,53100.00
